PredicateSignature,count,mean_q_error,median_q_error,p95_q_error,max_q_error
t.kind_id:<|t.production_year:>|ci.person_id:=|ci.role_id:<,2,6.333333333333333,6.333333333333333,6.333333333333333,6.333333333333333
t.production_year:>|mc.company_type_id:=|mk.keyword_id:=,1,6.305660377358491,6.305660377358491,6.305660377358491,6.305660377358491
t.kind_id:<|t.production_year:<|mc.company_id:=|mc.company_type_id:<|mi.info_type_id:=,1,6.223837209302325,6.223837209302325,6.223837209302325,6.223837209302325
ci.person_id:=|ci.role_id:>,33,6.150146119197194,3.15625,21.399999999999984,30.0
mi_idx.info_type_id:=|mk.keyword_id:=,3,6.111287478256057,3.0327868852459017,12.983185230580665,14.088785046728972
t.kind_id:<|t.production_year:>|mi.info_type_id:>|mk.keyword_id:=,1,6.07243707796194,6.07243707796194,6.07243707796194,6.07243707796194
t.kind_id:>|t.production_year:<|ci.person_id:=|ci.role_id:=|mi.info_type_id:>,1,6.025,6.025,6.025,6.025
t.kind_id:=|t.production_year:<|ci.person_id:<|ci.role_id:=|mk.keyword_id:>,1,6.0,6.0,6.0,6.0
t.kind_id:>|t.production_year:=|ci.person_id:>|ci.role_id:<|mk.keyword_id:=,1,6.0,6.0,6.0,6.0
t.production_year:>|mc.company_id:=,6,5.946347246150503,3.337349552588696,16.037839020122483,18.976377952755904
t.kind_id:<|mk.keyword_id:=,16,5.838957924835768,3.137274372214131,18.088752665245202,19.071428571428573
t.kind_id:<|t.production_year:>|ci.person_id:<|ci.role_id:=|mi.info_type_id:=,1,5.7768623412289735,5.7768623412289735,5.7768623412289735,5.7768623412289735
t.kind_id:<|t.production_year:<|mc.company_id:=|mc.company_type_id:=,1,5.7098723596520955,5.7098723596520955,5.7098723596520955,5.7098723596520955
t.kind_id:<|mc.company_id:=|mc.company_type_id:=|mi.info_type_id:<,1,5.638706654170572,5.638706654170572,5.638706654170572,5.638706654170572
mc.company_id:=,69,5.5363383154580434,3.0,16.353246753246744,43.0
t.production_year:>|mc.company_id:=|mc.company_type_id:=|mi_idx.info_type_id:<,1,5.285714285714286,5.285714285714286,5.285714285714286,5.285714285714286
t.production_year:<|ci.person_id:=|mi.info_type_id:<,1,5.266666666666667,5.266666666666667,5.266666666666667,5.266666666666667
mc.company_id:=|mi.info_type_id:<,2,5.227453998113271,5.227453998113271,7.453982384401081,7.701374427321949
