trial_id,selected_candidate,mean_q_error,median_q_error,p90_q_error,p95_q_error,max_q_error,public_rows,main_eta,main_max_depth,main_min_child_weight,main_subsample,main_colsample_bytree,main_lambda,main_alpha,main_num_boost_round,low_eta,low_max_depth,low_min_child_weight,low_subsample,low_colsample_bytree,low_lambda,low_alpha,low_num_boost_round,residual_eta,residual_max_depth,residual_min_child_weight,residual_subsample,residual_colsample_bytree,residual_lambda,residual_alpha,residual_num_boost_round,blend_low_expert_weight_percent,main_tuned_best_iteration,selected_main_config,selected_blend_low_expert_weight,selected_blend_other_weight
101,blend_low_010,2.6306871271794727,1.14158487662037,3.224002077352532,6.401065459610032,1142.328,5000,0.035,6,1.5,0.92,0.92,1.2,0.02,3200,0.035,4,1.0,0.95,0.95,1.0,0.02,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,10,3199.0,main_tuned,0.1,0.9
123,blend_low_010,2.6317235215328,1.1414345592525152,3.224002077352532,6.427175686430572,1142.324,5000,0.035,6,1.5,0.92,0.92,1.2,0.02,3200,0.04,4,1.0,0.95,0.95,1.0,0.02,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,10,3199.0,main_tuned,0.1,0.9
91,blend_low_020,2.6360386075211597,1.143038806537847,3.25037313432836,6.422913006213843,1210.68,5000,0.035,6,1.5,0.92,0.92,1.2,0.02,3200,0.035,4,1.0,0.95,0.95,1.0,0.02,1200,0.025,4,2.0,0.9,0.9,3.0,0.1,700,20,3199.0,main_tuned,0.2,0.8
103,blend_low_030,2.6371439862210035,1.1437680027568535,3.3035337783045353,6.652212276214835,1218.276,5000,0.035,6,1.5,0.92,0.92,1.2,0.02,3200,0.035,4,1.0,0.95,0.95,1.0,0.02,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,30,3199.0,main_tuned,0.3,0.7
113,blend_low_020,2.6375737370160235,1.1429091211433935,3.2412737642585587,6.429936254553252,1210.68,5000,0.035,6,1.5,0.92,0.92,1.2,0.02,3200,0.04,4,1.0,0.95,0.95,1.0,0.02,1200,0.025,4,2.0,0.9,0.9,3.0,0.1,700,20,3199.0,main_tuned,0.2,0.8
112,blend_low_010,2.638216823032653,1.1420500801709776,3.2407303370786558,6.357709052927674,1176.14,5000,0.035,6,1.5,0.92,0.92,1.2,0.02,3200,0.04,4,1.0,0.95,0.95,1.0,0.02,1200,0.025,4,2.0,0.9,0.9,3.0,0.1,700,10,3199.0,main_tuned,0.1,0.9
125,blend_low_030,2.6390029712367182,1.1432599805466142,3.304442279277932,6.602608695652183,1218.272,5000,0.035,6,1.5,0.92,0.92,1.2,0.02,3200,0.04,4,1.0,0.95,0.95,1.0,0.02,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,30,3199.0,main_tuned,0.3,0.7
90,blend_low_010,2.639328413733029,1.1419818932016113,3.2355474774179345,6.350916099609095,1176.144,5000,0.035,6,1.5,0.92,0.92,1.2,0.02,3200,0.035,4,1.0,0.95,0.95,1.0,0.02,1200,0.025,4,2.0,0.9,0.9,3.0,0.1,700,10,3199.0,main_tuned,0.1,0.9
100,residual,2.6427340802373966,1.1404777559552133,3.250806451612906,6.359041034974877,1106.148,5000,0.035,6,1.5,0.92,0.92,1.2,0.02,3200,0.035,4,1.0,0.95,0.95,1.0,0.02,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,0,3199.0,main_tuned,,
104,residual,2.6427340802373966,1.1404777559552133,3.250806451612906,6.359041034974877,1106.148,5000,0.035,6,1.5,0.92,0.92,1.2,0.02,3200,0.035,4,1.0,0.95,0.95,1.0,0.02,1200,0.03,4,2.0,0.9,0.9,3.0,0.1,700,40,3199.0,main_tuned,,
